descripcion;opcion_correcta;opciones
"sem elit; pharetra ut;";17;61-5-26-17-57
quis urna. Nunc quis arcu vel quam;35;59-40-43-35
at;7;50-56-52-17-7
Nullam nisl.;40;26-40-37
semper cursus. Integer mollis.;8;63-8-27-56-46
Integer id magna et ipsum cursus vestibulum. Mauris magna. Duis;5;59-35-5-62-60
fringilla est. Mauris eu turpis. Nulla aliquet. Proin velit. Sed;35;6-48-35-27
nisi dictum augue malesuada malesuada. Integer id;18;14-60-8-18
"convallis; ante lectus convallis est; vitae sodales nisi";66;50-3-66
"felis orci; adipiscing non;";3;4-25-15-3
"accumsan convallis; ante lectus";50;39-4-34-50-58
"lorem. Donec elementum; lorem ut";41;41-64-55
"ullamcorper. Duis cursus; diam at pretium";47;12-28-47-58-53
"laoreet ipsum. Curabitur consequat; lectus sit";36;47-1-27-36
Nulla facilisi. Sed;64;12-31-50-64
"eu; odio. Phasellus at augue id ante dictum cursus.";58;58-13-14-29
Cum sociis natoque penatibus et magnis dis parturient;27;36-27-64-45
Nullam feugiat placerat velit. Quisque varius. Nam porttitor scelerisque neque.;25;62-25-22-43
tristique pharetra. Quisque ac;46;4-46-1-15
interdum ligula eu enim.;60;53-49-60
"et risus. Quisque libero lacus;";55;55-6-7
"vestibulum nec; euismod in; dolor. Fusce feugiat. Lorem";8;47-8-52-27
neque pellentesque massa lobortis ultrices. Vivamus rhoncus. Donec est. Nunc;11;56-31-11
justo.;51;26-39-49-51
Fusce aliquet;9;38-9-23-36
"Nulla eget metus eu erat semper rutrum. Fusce dolor quam;";45;45-53-17
"fermentum risus; at fringilla purus mauris a nunc.";12;35-40-12
"tristique ac; eleifend vitae; erat. Vivamus nisi. Mauris nulla. Integer";36;10-25-38-36
magna a neque.;17;16-17-7-15
"orci; adipiscing non; luctus sit amet; faucibus ut; nulla.";33;12-33-64-62-50
arcu. Vestibulum;40;22-40-59
augue porttitor interdum. Sed auctor odio;23;40-28-23-35
"Aliquam auctor; velit eget laoreet posuere; enim nisl elementum";66;66-64-5-17
"felis eget varius ultrices; mauris ipsum porta elit; a";44;40-44-14-19-37
"neque tellus; imperdiet non; vestibulum nec; euismod in; dolor.";64;49-18-64-24
"odio. Etiam ligula tortor; dictum eu; placerat eget; venenatis a;";33;33-57-39
odio. Aliquam vulputate ullamcorper magna. Sed eu;6;48-5-58
"sodales nisi magna sed dui. Fusce aliquam; enim nec";2;2-1-31-65
scelerisque neque. Nullam;47;47-14-39
senectus et netus et malesuada fames ac turpis;5;61-42-24-22-5
sapien. Nunc pulvinar arcu et pede. Nunc sed orci;50;51-11-50
purus. Nullam scelerisque neque sed sem egestas;12;12-63-52-13-44
consectetuer adipiscing elit. Curabitur sed;66;49-66-23
nisi. Mauris nulla. Integer urna. Vivamus;50;16-18-37-27-50
arcu. Sed et libero. Proin mi.;20;32-20-66-25
"posuere at; velit. Cras lorem lorem; luctus ut;";2;27-51-2-4
arcu vel quam dignissim pharetra. Nam ac nulla. In;1;58-28-13-1
in consequat enim diam vel arcu. Curabitur ut odio;16;8-16-45-38
"augue id ante dictum cursus. Nunc mauris elit;";56;6-12-56-44-38
"Cum sociis natoque penatibus et magnis dis parturient montes; nascetur";40;25-40-13
eget metus eu erat;65;52-27-65
vehicula;15;58-28-15-16-49
tellus lorem eu metus. In lorem.;40;33-54-40-41-16
velit eu sem. Pellentesque ut;39;24-13-39-59-66
"lorem fringilla ornare placerat; orci lacus vestibulum lorem;";8;8-65-34-39-27
Pellentesque ut ipsum ac mi eleifend egestas. Sed;48;61-48-12
"quis; tristique ac; eleifend vitae; erat. Vivamus nisi. Mauris";32;61-32-1-59
ligula eu enim. Etiam imperdiet;52;12-54-52-8
Maecenas ornare egestas ligula.;22;34-29-22-5-10
lorem tristique aliquet. Phasellus fermentum convallis ligula. Donec;37;53-37-62-5
mi. Aliquam gravida mauris;43;64-43-27-51
ullamcorper magna. Sed;44;60-54-44-40
posuere cubilia Curae Phasellus ornare. Fusce mollis.;19;46-19-44
"hendrerit id; ante. Nunc mauris sapien;";32;32-46-47
"mauris sapien; cursus in; hendrerit";63;39-63-18-62
nunc. In;4;4-65-47-61
"eu; odio. Phasellus at augue id ante dictum cursus. Nunc";6;25-6-46-44
"dolor dolor; tempus non; lacinia at; iaculis quis; pede. Praesent";14;64-14-34-39
Suspendisse;32;60-32-25-14
purus ac tellus. Suspendisse sed dolor.;29;49-29-26
Nulla eu neque pellentesque massa lobortis ultrices.;22;46-58-13-22-59
Etiam vestibulum massa rutrum;26;50-63-39-26
Phasellus;6;47-38-37-6
lobortis quam a felis ullamcorper;14;14-61-20-47
eu;32;26-32-43
massa non ante bibendum ullamcorper.;19;21-25-19-63
"pharetra nibh. Aliquam ornare; libero at";2;45-2-42-17
"non magna. Nam ligula elit; pretium et; rutrum";16;30-25-16-28-9
vitae risus. Duis a mi fringilla mi;35;19-35-62
ullamcorper. Duis at lacus. Quisque;7;32-46-7-57-16
"mauris. Integer sem elit; pharetra ut; pharetra sed; hendrerit";7;49-22-46-7
"ut; pellentesque eget; dictum placerat; augue.";12;17-65-38-12
magna. Lorem ipsum dolor;56;20-56-26-50
nulla at sem molestie sodales. Mauris blandit enim;24;24-12-56-3
nisi nibh lacinia;49;61-8-29-49
Ut semper pretium neque.;37;3-13-37-8
"quis; pede. Praesent eu dui. Cum";22;22-44-56-34-18
"gravida non; sollicitudin a; malesuada id; erat. Etiam vestibulum massa";2;15-14-2
Aliquam erat volutpat. Nulla dignissim. Maecenas;17;54-27-48-17-21
"nunc ac mattis ornare; lectus";18;22-29-28-18
"id; blandit at; nisi. Cum sociis natoque penatibus";45;13-45-18
"Sed congue; elit sed consequat auctor; nunc";48;20-31-48-36
luctus et ultrices posuere cubilia Curae Donec tincidunt. Donec;7;25-49-11-7
vel quam dignissim pharetra. Nam ac nulla. In;33;41-24-60-33
"aliquet libero. Integer in magna. Phasellus dolor elit; pellentesque a;";24;32-24-15
ornare sagittis felis.;61;29-55-61-40
lectus quis massa.;66;27-29-20-66
quis urna. Nunc quis arcu vel;53;53-27-36-63
"at; libero. Morbi accumsan laoreet";23;64-23-18
per inceptos;3;2-44-3-8
"dictum eu; placerat eget; venenatis";36;9-56-36
ac risus. Morbi metus. Vivamus euismod urna. Nullam;23;33-28-23-52
Proin mi.;43;40-36-43-37
dolor. Donec;28;29-58-28
Phasellus ornare. Fusce mollis. Duis sit;54;54-16-37-14
natoque penatibus;54;36-54-10-16
"lorem; luctus ut; pellentesque eget; dictum placerat;";13;13-49-23-47
venenatis lacus. Etiam bibendum;1;39-1-23
"eget metus eu erat semper rutrum. Fusce dolor quam;";29;1-29-40-15
"eleifend nec;";51;23-21-27-24-51
"diam at pretium aliquet;";47;37-2-58-19-47
libero.;26;65-26-40-56
"elit. Etiam laoreet; libero";2;17-2-35-37-43
accumsan neque et;35;57-35-66-46-64
"lacinia orci; consectetuer";40;24-40-50
"rhoncus id; mollis nec; cursus a;";31;37-31-54-38
Nunc quis arcu;47;12-47-49
dignissim magna a tortor. Nunc commodo auctor velit. Aliquam;30;50-26-7-30-18
"mauris; aliquam eu; accumsan sed; facilisis vitae;";20;10-13-20-46
aliquam eros turpis;50;53-50-28
semper cursus. Integer mollis.;23;24-20-66-36-23
"consectetuer adipiscing elit. Etiam laoreet; libero et";4;46-17-4-55
pede. Praesent;48;46-48-22-42
quam. Curabitur vel lectus. Cum sociis natoque penatibus et;15;48-15-34-45
molestie tortor nibh sit amet orci.;24;12-34-15-24-25
"leo. Morbi neque tellus; imperdiet non; vestibulum";55;42-55-50-15
"ornare;";20;23-20-53
eget odio. Aliquam vulputate ullamcorper;64;13-19-64-53
dapibus ligula. Aliquam erat volutpat. Nulla dignissim. Maecenas;46;65-46-39
"felis eget varius ultrices; mauris ipsum porta elit;";35;65-35-8-23
"elit; a feugiat";11;60-57-24-11
ligula. Aenean euismod mauris eu;49;21-49-53-13-24
"eleifend egestas. Sed pharetra; felis eget";7;59-45-62-7
cursus. Integer mollis. Integer tincidunt aliquam;4;36-22-38-4-54
sollicitudin adipiscing ligula. Aenean gravida nunc sed;58;49-45-58-29-53
ultricies dignissim lacus. Aliquam;9;29-51-49-9
gravida sagittis. Duis gravida. Praesent eu nulla;61;23-32-61-45
malesuada. Integer id magna et ipsum cursus vestibulum. Mauris magna.;31;40-53-31-32
"Donec felis orci;";40;40-50-49-32
lacus. Quisque purus;6;3-6-63-52
varius. Nam porttitor scelerisque neque. Nullam;23;17-50-38-66-23
"amet; consectetuer adipiscing elit. Aliquam auctor; velit eget laoreet";4;43-40-24-4
ornare sagittis;65;21-31-65-14
nec tempus;4;30-4-38-16-43
mauris. Suspendisse;28;28-34-33
"sem mollis dui; in sodales";47;60-32-47-6
